country,iso3c,region,income,year,gdp_capita,lifeexpectancy,resdevelop_gdp,govtspendeducation_gdp,pubspendhealth_gdp,unemployment,giniindex,literacy_rate,childmortality,mn_yrs_school
Afghanistan,AFG,South Asia,Low income,2002,364.570572951991,56.637,NA,NA,NA,8.69099998474121,NA,NA,121.7,NA
Afghanistan,AFG,South Asia,Low income,2003,376.758714204473,57.25,NA,NA,NA,8.85299968719482,NA,NA,117.9,NA
Afghanistan,AFG,South Asia,Low income,2004,364.095436021804,57.875,NA,NA,NA,10.0010004043579,NA,NA,114.1,NA
Afghanistan,AFG,South Asia,Low income,2005,389.416357791097,58.5,NA,NA,NA,8.47000026702881,NA,NA,110.1,2.18
Afghanistan,AFG,South Asia,Low income,2006,397.985904741902,59.11,NA,NA,NA,9.05700016021729,NA,NA,106.1,2.294
Afghanistan,AFG,South Asia,Low income,2007,440.368155343632,59.694,NA,NA,NA,7.80200004577637,NA,NA,102,2.408
Afghanistan,AFG,South Asia,Low income,2008,444.950137932355,60.243,NA,NA,NA,8.75500011444092,NA,NA,97.9,2.5220000000000002
Afghanistan,AFG,South Asia,Low income,2009,524.823533211573,60.754,NA,NA,NA,6.70499992370605,NA,NA,93.9,2.636
Afghanistan,AFG,South Asia,Low income,2010,553.300289383064,61.226,NA,3.46196007728577,NA,7.82100009918213,NA,NA,90,2.75
Afghanistan,AFG,South Asia,Low income,2011,569.233387721432,61.666,NA,3.43784999847412,NA,8.22999954223633,NA,31.7411193847656,86.2,2.86
Afghanistan,AFG,South Asia,Low income,2012,630.427412567377,62.086,NA,2.52441000938416,NA,7.93599987030029,NA,NA,82.6,2.9699999999999998
Afghanistan,AFG,South Asia,Low income,2013,633.658411271767,62.494,NA,3.47170996665955,NA,8.45199966430664,NA,NA,79.2,3.08
Afghanistan,AFG,South Asia,Low income,2014,630.320014012209,62.895,NA,3.77759003639221,NA,8.70600032806396,NA,NA,76,3.19
Afghanistan,AFG,South Asia,Low income,2015,620.05652498092,63.288,NA,3.24201989173889,NA,8.86400032043457,NA,NA,73.1,3.3
Afghanistan,AFG,South Asia,Low income,2016,617.889972323552,63.673,NA,NA,NA,8.84099960327148,NA,NA,70.4,NA
Albania,ALB,Europe & Central Asia,Upper middle income,1980,2110.63321786369,70.207,NA,NA,NA,NA,NA,NA,80.1,7.28
Albania,ALB,Europe & Central Asia,Upper middle income,1981,2187.64280609897,70.416,NA,NA,NA,NA,NA,NA,73.6,7.418
Albania,ALB,Europe & Central Asia,Upper middle income,1982,2205.05294417041,70.635,NA,NA,NA,NA,NA,NA,67.9,7.556
Albania,ALB,Europe & Central Asia,Upper middle income,1983,2182.63191793138,70.876,NA,NA,NA,NA,NA,NA,62.7,7.694
Albania,ALB,Europe & Central Asia,Upper middle income,1984,2110.44142829518,71.134,NA,NA,NA,NA,NA,NA,58.2,7.832
Albania,ALB,Europe & Central Asia,Upper middle income,1985,2104.30858368632,71.388,NA,NA,NA,NA,NA,NA,54,7.97
Albania,ALB,Europe & Central Asia,Upper middle income,1986,2180.37209056524,71.605,NA,NA,NA,NA,NA,NA,50.4,8.08
Albania,ALB,Europe & Central Asia,Upper middle income,1987,2120.42283887391,71.76,NA,NA,NA,NA,NA,NA,47.2,8.19
Albania,ALB,Europe & Central Asia,Upper middle income,1988,2051.24357018799,71.843,NA,NA,NA,NA,NA,NA,44.5,8.299999999999999
Albania,ALB,Europe & Central Asia,Upper middle income,1989,2193.2638245449,71.86,NA,NA,NA,NA,NA,NA,42.2,8.41
Albania,ALB,Europe & Central Asia,Upper middle income,1990,1947.8835449081,71.836,NA,NA,NA,NA,NA,NA,40.1,8.52
Albania,ALB,Europe & Central Asia,Upper middle income,1991,1379.8169783237,71.803,NA,NA,NA,22.3239994049072,NA,NA,38.4,8.578
Albania,ALB,Europe & Central Asia,Upper middle income,1992,1288.25896491087,71.802,NA,NA,NA,22.6469993591309,NA,NA,36.8,8.636
Albania,ALB,Europe & Central Asia,Upper middle income,1993,1420.57328795871,71.86,NA,NA,NA,24.826000213623,NA,NA,35.4,8.694
Albania,ALB,Europe & Central Asia,Upper middle income,1994,1547.95435292012,71.992,NA,3.26518988609314,NA,24.5830001831055,NA,NA,33.9,8.752
Albania,ALB,Europe & Central Asia,Upper middle income,1995,1764.69929632752,72.205,NA,3.76470994949341,NA,23.8610000610352,NA,NA,32.4,8.81
Albania,ALB,Europe & Central Asia,Upper middle income,1996,1937.29007198088,72.495,NA,2.97630000114441,NA,23.3980007171631,27,NA,30.9,8.89
Albania,ALB,Europe & Central Asia,Upper middle income,1997,1738.16646043428,72.838,NA,3.23428010940552,NA,23.1949996948242,NA,NA,29.3,8.97
Albania,ALB,Europe & Central Asia,Upper middle income,1998,1906.71726144227,73.208,NA,3.32642006874084,NA,23.0330009460449,NA,NA,27.7,9.05
Albania,ALB,Europe & Central Asia,Upper middle income,1999,2177.89663307357,73.588,NA,3.37970995903015,NA,23.2900009155273,NA,NA,26.1,9.13
Albania,ALB,Europe & Central Asia,Upper middle income,2000,2337.9423863713,73.955,NA,3.28692007064819,NA,22.7299995422363,NA,NA,24.5,9.21
Albania,ALB,Europe & Central Asia,Upper middle income,2001,2547.37731608619,74.286,NA,3.34060001373291,NA,22.6800003051758,NA,98.7129821777344,22.9,9.256
Albania,ALB,Europe & Central Asia,Upper middle income,2002,2663.14047692587,74.575,NA,3.05663990974426,NA,21.488000869751,31.7,NA,21.4,9.302
Albania,ALB,Europe & Central Asia,Upper middle income,2003,2827.45577750698,74.82,NA,3.06427001953125,NA,20.1529998779297,NA,NA,19.9,9.348
Albania,ALB,Europe & Central Asia,Upper middle income,2004,3001.40861793158,75.028,NA,3.17007994651794,NA,18.818000793457,NA,NA,18.5,9.394
Albania,ALB,Europe & Central Asia,Upper middle income,2005,3189.39511117692,75.217,NA,3.23871994018555,NA,17.4629993438721,30.6,NA,17.2,9.44
Albania,ALB,Europe & Central Asia,Upper middle income,2006,3383.89372561197,75.418,NA,3.1571900844574,NA,16.0400009155273,NA,NA,16,9.484
Albania,ALB,Europe & Central Asia,Upper middle income,2007,3610.72755370642,75.656,0.08735,3.26868009567261,NA,13.5,NA,NA,14.8,9.528
Albania,ALB,Europe & Central Asia,Upper middle income,2008,3775.38098775973,75.943,0.15421,NA,NA,13.0500001907349,30,95.9386367797852,13.8,9.572
Albania,ALB,Europe & Central Asia,Upper middle income,2009,3928.33863824236,76.281,NA,NA,NA,13.7600002288818,NA,NA,12.8,9.616
Albania,ALB,Europe & Central Asia,Upper middle income,2010,4094.35883191918,76.652,NA,NA,NA,14.1999998092651,NA,NA,12,9.66
Albania,ALB,Europe & Central Asia,Upper middle income,2011,4210.08219850607,77.031,NA,NA,NA,13.9799995422363,NA,96.8452987670898,11.3,9.74
Albania,ALB,Europe & Central Asia,Upper middle income,2012,4276.92155019231,77.389,NA,NA,NA,13.4399995803833,29,97.2469711303711,10.7,9.82
Albania,ALB,Europe & Central Asia,Upper middle income,2013,4327.64451802716,77.702,NA,3.53929996490479,NA,15.6400003433228,NA,NA,10.1,9.9
Albania,ALB,Europe & Central Asia,Upper middle income,2014,4413.56158290959,77.963,NA,NA,NA,17.4899997711182,NA,NA,9.7,9.98
Albania,ALB,Europe & Central Asia,Upper middle income,2015,4524.64443153606,78.174,NA,3.45363998413086,NA,17.0799999237061,NA,NA,9.4,10.06
Albania,ALB,Europe & Central Asia,Upper middle income,2016,4683.80021257139,78.345,NA,NA,NA,15.2200002670288,NA,NA,9.1,NA
Algeria,DZA,Middle East & North Africa,Upper middle income,1960,2466.03823773921,46.138,NA,NA,NA,NA,NA,NA,241.7,1.02
Algeria,DZA,Middle East & North Africa,Upper middle income,1961,2078.22193264149,46.596,NA,NA,NA,NA,NA,NA,242.2,1.124
Algeria,DZA,Middle East & North Africa,Upper middle income,1962,1628.38872469851,47.054,NA,NA,NA,NA,NA,NA,242.8,1.228
Algeria,DZA,Middle East & North Africa,Upper middle income,1963,2133.31860696595,47.507,NA,NA,NA,NA,NA,NA,243.7,1.332
Algeria,DZA,Middle East & North Africa,Upper middle income,1964,2200.81387552427,47.956,NA,NA,NA,NA,NA,NA,245,1.436
Algeria,DZA,Middle East & North Africa,Upper middle income,1965,2276.14699806443,48.392,NA,NA,NA,NA,NA,NA,246.2,1.54
Algeria,DZA,Middle East & North Africa,Upper middle income,1966,2107.80039069983,48.809,NA,NA,NA,NA,NA,NA,247,1.69
Algeria,DZA,Middle East & North Africa,Upper middle income,1967,2242.45041658515,49.208,NA,NA,NA,NA,NA,NA,247.1,1.84
Algeria,DZA,Middle East & North Africa,Upper middle income,1968,2414.01669523072,49.595,NA,NA,NA,NA,NA,NA,246.3,1.99
Algeria,DZA,Middle East & North Africa,Upper middle income,1969,2543.56326506323,49.98,NA,NA,NA,NA,NA,NA,244,2.14
Algeria,DZA,Middle East & North Africa,Upper middle income,1970,2691.80231716574,50.369,NA,NA,NA,NA,NA,NA,240,2.29
Algeria,DZA,Middle East & North Africa,Upper middle income,1971,2321.35040216342,50.77,NA,NA,NA,NA,NA,NA,234.9,2.464
Algeria,DZA,Middle East & North Africa,Upper middle income,1972,2877.74526458977,51.198,NA,NA,NA,NA,NA,NA,228.5,2.638
